Sample,Gene,SE_Score
TCGA-DJ-A3VF-01,MAP4K4,-0.024237648
TCGA-DJ-A13T-01,MAP4K4,-0.02423346
TCGA-2G-AALO-01,KIRREL,-0.024233162
TCGA-BJ-A2N8-01,TBC1D3,-0.024231672
TCGA-CE-A481-01,KIRREL,-0.02422589
TCGA-DJ-A2PN-01,KIRREL,-0.02421102
TCGA-EL-A4JX-01,KIRREL,-0.024208426
TCGA-FX-A3NJ-01,KIRREL,-0.024202257
TCGA-BP-4760-01,KIRREL,-0.024198622
TCGA-EM-A3AJ-01,KIRREL,-0.024191141
TCGA-DX-A6BG-01,KIRREL,-0.024189949
TCGA-DJ-A3UW-01,NF2,-0.024188876
TCGA-LB-A9Q5-01,KIRREL,-0.024170876
TCGA-3E-AAAY-01,KIRREL,-0.024148464
TCGA-V4-A9EV-01,KIRREL,-0.024147272
TCGA-FG-8187-01,KIRREL,-0.02414018
TCGA-EM-A2P0-01,TBC1D3,-0.024120808
TCGA-DU-A76O-01,TBC1D3,-0.024116993
TCGA-DJ-A4UL-01,MAP4K4,-0.024114907
TCGA-XJ-A9DK-01,KIRREL,-0.024091959
TCGA-A2-A3KD-01,KIRREL,-0.024086326
TCGA-DX-AB2L-01,KIRREL,-0.024083227
TCGA-KS-A4I1-01,KIRREL,-0.024071425
TCGA-QR-A6H2-01,KIRREL,-0.024064928
TCGA-CV-5971-01,KIRREL,-0.02404347
TCGA-OR-A5JL-01,KIRREL,-0.024041712
TCGA-DJ-A13U-01,TBC1D3,-0.024027348
TCGA-TT-A6YJ-01,KIRREL,-0.0240224
TCGA-KS-A4I5-01,MAP4K4,-0.024000093
TCGA-BH-A8G0-01,KIRREL,-0.023992509
TCGA-DB-A64R-01,TBC1D3,-0.023992062
TCGA-DJ-A3VE-01,KIRREL,-0.023990631
TCGA-75-7030-01,KIRREL,-0.023980051
TCGA-KC-A4BN-01,KIRREL,-0.023961008
TCGA-ET-A2MZ-01,MAP4K4,-0.023958504
TCGA-BB-4224-01,TBC1D3,-0.023948312
TCGA-G9-6353-01,KIRREL,-0.023947358
TCGA-R5-A7ZR-01,TBC1D3,-0.023942232
TCGA-WB-A80K-01,KIRREL,-0.023930103
TCGA-2J-AAB9-01,KIRREL,-0.023923159
TCGA-A2-A1G6-01,KIRREL,-0.023921758
TCGA-DJ-A3V0-01,TBC1D3,-0.023921013
TCGA-AQ-A54O-01,KIRREL,-0.023905933
TCGA-EM-A4FF-01,MAP4K4,-0.023899004
TCGA-R8-A6YH-01,TBC1D3,-0.023897886
TCGA-2G-AAGI-01,KIRREL,-0.023897529
TCGA-E8-A434-01,KIRREL,-0.023896933
TCGA-RW-A688-01,KIRREL,-0.023890436
TCGA-VD-A8K9-01,KIRREL,-0.023870349
TCGA-YT-A95G-01,KIRREL,-0.023864597
TCGA-VD-A8KF-01,KIRREL,-0.023858666
TCGA-CE-A482-01,KIRREL,-0.023850381
TCGA-D8-A141-01,KIRREL,-0.023849785
TCGA-EM-A3AI-01,KIRREL,-0.023849726
TCGA-EL-A3GY-01,KIRREL,-0.023826897
TCGA-KK-A6E0-01,KIRREL,-0.023825973
TCGA-S7-A7WW-01,KIRREL,-0.023811668
TCGA-E3-A3E2-01,TBC1D3,-0.023805618
TCGA-BQ-5894-01,KIRREL,-0.023802131
TCGA-DJ-A1QD-01,MAP4K4,-0.023787469
TCGA-J9-A52E-01,TBC1D3,-0.023787022
TCGA-EL-A3D1-01,KIRREL,-0.023776531
TCGA-FE-A3PB-01,TBC1D3,-0.023769379
TCGA-AQ-A1H3-01,KIRREL,-0.02376166
TCGA-TM-A84M-01,TBC1D3,-0.023742676
TCGA-TQ-A7RK-01,TBC1D3,-0.023724675
TCGA-UE-A6QT-01,KIRREL,-0.023702174
TCGA-EW-A1P0-01,KIRREL,-0.023682773
TCGA-OR-A5L6-01,TBC1D3,-0.023662567
TCGA-CS-4944-01,TBC1D3,-0.023651004
TCGA-EM-A3FK-01,MAP4K4,-0.023650229
TCGA-SR-A6MZ-01,KIRREL,-0.023640156
TCGA-EB-A4OZ-01,KIRREL,-0.023635596
TCGA-DJ-A3UY-01,KIRREL,-0.023628026
TCGA-EL-A3ZG-01,KIRREL,-0.023628026
TCGA-KS-A4IC-01,KIRREL,-0.023628026
TCGA-QT-A5XK-01,KIRREL,-0.023626804
TCGA-DJ-A3VL-01,KIRREL,-0.023622721
TCGA-EL-A3H4-01,TBC1D3,-0.023622632
TCGA-XU-A932-01,KIRREL,-0.023613006
TCGA-WC-AA9E-01,KIRREL,-0.02360326
TCGA-EJ-A46I-01,KIRREL,-0.02360192
TCGA-EM-A3AR-01,KIRREL,-0.023597062
TCGA-RN-A68Q-01,KIRREL,-0.023590088
TCGA-J8-A3YG-01,KIRREL,-0.023589969
TCGA-FY-A76V-01,KIRREL,-0.023584008
TCGA-S3-AA12-01,KIRREL,-0.0235731
TCGA-H2-A3RI-01,TBC1D3,-0.023568153
TCGA-4L-AA1F-01,KIRREL,-0.023548752
TCGA-BH-A1EW-01,KIRREL,-0.023534805
TCGA-DX-A6B9-01,KIRREL,-0.023516834
TCGA-EJ-7791-01,KIRREL,-0.023506433
TCGA-WB-A81D-01,KIRREL,-0.023505926
TCGA-DJ-A2Q6-01,KIRREL,-0.023495495
TCGA-EM-A4FK-01,TBC1D3,-0.023493052
TCGA-4Z-AA7N-01,KIRREL,-0.023489267
TCGA-BH-A0BJ-01,KIRREL,-0.023450792
TCGA-EM-A2OZ-01,TBC1D3,-0.023440003
TCGA-EL-A3GW-01,TBC1D3,-0.023433685
TCGA-DJ-A4V2-01,TBC1D3,-0.023415327
TCGA-J8-A3YH-01,KIRREL,-0.023412883
TCGA-DJ-A3UK-01,MAP4K4,-0.023411974
TCGA-VF-A8AB-01,KIRREL,-0.023395985
TCGA-DU-6406-01,KIRREL,-0.023392856
TCGA-FE-A230-01,TBC1D3,-0.02339077
TCGA-US-A774-01,KIRREL,-0.023390263
TCGA-EL-A3T8-01,MAP4K4,-0.02337575
TCGA-EL-A3GR-01,TBC1D3,-0.023370743
TCGA-RW-A68A-01,KIRREL,-0.02335897
TCGA-G9-6385-01,KIRREL,-0.023357272
TCGA-FY-A40M-01,KIRREL,-0.023346454
TCGA-DX-A48K-01,KIRREL,-0.023336858
TCGA-E9-A24A-01,KIRREL,-0.023329675
TCGA-ET-A3DQ-01,KIRREL,-0.023308814
TCGA-ET-A39R-01,KIRREL,-0.023308218
TCGA-DJ-A3UU-01,MAP4K4,-0.023301288
TCGA-ET-A39T-01,MAP4K4,-0.023301095
TCGA-EM-A3OB-01,TBC1D3,-0.023298025
TCGA-HC-7209-01,KIRREL,-0.02329126
