Sample	Gene	SE_Score
TCGA-3A-A9IR-01	ITGB5	0.0094
TCGA-3A-A9IS-01	ELMO2	0.0083
TCGA-3A-A9IU-01	BCAR1	0.0084
TCGA-3A-A9IV-01	ELMO2	0.0089
TCGA-3A-A9IX-01	CDAN1	0.0081
TCGA-3A-A9IZ-01	GGNBP2	0.0056
TCGA-3A-A9J0-01	FERMT2	0.0062
TCGA-3B-A9HJ-01	RHOA	0.0073
TCGA-3B-A9HL-01	CFLAR	0.0075
TCGA-3B-A9HO-01	ITGB5	0.0093
TCGA-3B-A9HP-01	ELMO2	0.0084
TCGA-3B-A9HQ-01	ITGB5	0.0058
TCGA-3B-A9HR-01	TIPARP	0.0124
TCGA-3B-A9HS-01	ELMO2	0.0084
TCGA-3B-A9HT-01	CNIH4	0.0039
TCGA-3B-A9HU-01	BCAR1	0.0096
TCGA-3B-A9HV-01	ITGB5	0.0057
TCGA-3B-A9HX-01	TADA2B	0.0065
TCGA-3B-A9HY-01	CBFB	0.0066
TCGA-3B-A9HZ-01	BCAR1	0.0102
TCGA-3B-A9I0-01	ITGB5	0.0107
TCGA-3B-A9I1-01	ELMO2	0.0082
TCGA-3B-A9I3-01	ITGB5	0.0103
TCGA-3C-AAAU-01	TIPARP	0.0114
TCGA-3C-AALI-01	EP300	0.0045
TCGA-3C-AALJ-01	ELMO2	0.0093
TCGA-3C-AALK-01	ELMO2	0.0097
TCGA-3E-AAAY-01	ELMO2	0.0115
TCGA-3E-AAAZ-01	ELMO2	0.0093
TCGA-3G-AB0O-01	RHOA	0.0102
TCGA-3G-AB0Q-01	ITGB5	0.0082
TCGA-3G-AB0T-01	TIPARP	0.0103
TCGA-3G-AB19-01	ELMO2	0.0098
TCGA-3H-AB3K-01	ITGB5	0.0100
TCGA-3H-AB3L-01	TIPARP	0.0091
TCGA-3H-AB3M-01	ITGB5	0.0087
TCGA-3H-AB3O-01	TIPARP	0.0089
TCGA-3H-AB3S-01	ELMO2	0.0069
TCGA-3H-AB3T-01	ELMO2	0.0083
TCGA-3H-AB3U-01	ELMO2	0.0081
TCGA-3H-AB3X-01	TIPARP	0.0093
TCGA-3K-AAZ8-01	EP300	0.0044
TCGA-3L-AA1B-01	ITGB5	0.0040
TCGA-3M-AB46-01	FERMT2	0.0079
TCGA-3M-AB47-01	LSM5	0.0052
TCGA-3N-A9WB-06	EP300	0.0073
TCGA-3N-A9WC-06	CCND1	0.0036
TCGA-3N-A9WD-06	CCND1	0.0029
TCGA-3P-A9WA-01	FERMT2	0.0061
TCGA-3Q-A9WF-01	RHOA	0.0089
TCGA-3R-A8YX-01	BCAR1	0.0055
TCGA-3S-A8YW-01	ITGB5	0.0084
TCGA-3S-AAYX-01	TIPARP	0.0081
TCGA-3T-AA9L-01	UFM1	0.0090
TCGA-3U-A98D-01	ITGB5	0.0075
TCGA-3U-A98E-01	BCAR1	0.0085
TCGA-3U-A98F-01	ITGB5	0.0080
TCGA-3U-A98G-01	MAGOH	0.0095
TCGA-3U-A98H-01	ITGB5	0.0090
TCGA-3U-A98I-01	ITGB5	0.0060
TCGA-3U-A98J-01	ITGB5	0.0086
TCGA-3X-AAV9-01	ITGB5	0.0081
TCGA-3X-AAVA-01	ITGB5	0.0100
TCGA-3X-AAVB-01	ELMO2	0.0083
TCGA-3X-AAVC-01	ITGB5	0.0088
TCGA-3X-AAVE-01	FERMT2	0.0087
TCGA-3Z-A93Z-01	ELMO2	0.0064
TCGA-41-2571-01	ITGB5	0.0106
TCGA-41-2572-01	ITGB5	0.0062
TCGA-41-3915-01	ITGB5	0.0061
TCGA-41-4097-01	ITGB5	0.0085
TCGA-41-5651-01	BCAR1	0.0050
TCGA-43-2578-01	EP300	0.0026
TCGA-43-2581-01	EP300	0.0050
TCGA-43-3394-01	EP300	0.0080
TCGA-43-3920-01	EP300	0.0076
TCGA-43-5668-01	MDM2	0.0046
TCGA-43-5670-01	FERMT2	0.0078
TCGA-43-6143-01	EP300	0.0089
TCGA-43-6647-01	FERMT2	0.0048
TCGA-43-6770-01	EP300	0.0056
TCGA-43-6771-01	TXNRD1	0.0066
TCGA-43-6773-01	ELMO2	0.0074
TCGA-43-7656-01	EP300	0.0075
